id,headline
H01,Банк России сохранил ключевую ставку на прежнем уровне
H02,ВЫ НЕ ПОВЕРИТЕ что случилось с рублём этой ночью
H03,Минфин опубликовал проект федерального бюджета
H04,Пять привычек которые навсегда изменят ваши финансы
H05,Росстат представил данные о безработице за март
H06,Этот простой способ удвоит ваши накопления уже завтра
H07,Курс доллара вырос на один процент к закрытию торгов
H08,Эксперты назвали главную угрозу для всех вкладчиков
H09,Правительство утвердило правила предоставления субсидий
H10,Шокирующая правда о банковских комиссиях
H11,Компания раскрыла квартальную финансовую отчётность
H12,Три акции которые обязательно сделают вас миллионером
H13,Инфляционные ожидания населения снизились в сентябре
H14,Срочно заберите деньги пока банки не ввели новый запрет
H15,Регулятор обновил требования к раскрытию информации
H16,Почему экономисты скрывали этот секрет десять лет
H17,Индекс деловой активности составил 52 пункта
H18,Одна ошибка из-за которой вы теряете половину зарплаты
H19,Университет открыл регистрацию на курс анализа данных
H20,Никогда не делайте этого при оформлении кредита
